                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.8668,                 1.1063,                0.95861,                 0.9157,                 0.8006,                0.86548,                0.42448,                 1.8215,                0.98222,                0.93653,               0.007261,               0.007261,               0.007261
                     86,                 1.8976,                 1.1052,                0.96203,                 0.8994,                 0.8031,                0.86428,                0.43695,                 1.8114,                0.96027,                0.93855,               0.007228,               0.007228,               0.007228
                     87,                 1.9093,                 1.1314,                0.96525,                0.91647,                0.80421,                0.87396,                 0.4345,                 1.8072,                0.97596,                0.93466,               0.007195,               0.007195,               0.007195
                     88,                 1.8585,                  1.106,                0.96161,                0.92291,                0.79161,                0.86876,                0.42649,                 1.8176,                0.96913,                0.93043,               0.007162,               0.007162,               0.007162
                     89,                 1.8156,                 1.0826,                0.94947,                0.92083,                0.82232,                0.88383,                 0.4498,                 1.7531,                0.94586,                0.92346,               0.007129,               0.007129,               0.007129
                     90,                 1.8647,                 1.0996,                0.95598,                0.88422,                0.79832,                0.85763,                0.42888,                 1.7958,                 1.0188,                0.92689,               0.007096,               0.007096,               0.007096
                     91,                 1.7711,                 1.0342,                0.92893,                0.90056,                0.79798,                0.87226,                0.44031,                 1.7756,                0.95987,                0.92516,               0.007063,               0.007063,               0.007063
                     92,                 1.8082,                 1.0399,                0.95589,                0.92697,                0.80396,                0.88437,                0.45122,                 1.7667,                0.95165,                0.92018,                0.00703,                0.00703,                0.00703
                     93,                 1.8181,                 1.0367,                0.94755,                0.86988,                0.82859,                0.87316,                0.44087,                 1.7468,                0.95245,                0.91942,               0.006997,               0.006997,               0.006997
                     94,                 1.8188,                  1.066,                0.93751,                  0.919,                0.81344,                0.86748,                0.43377,                 1.7709,                0.96781,                0.92352,               0.006964,               0.006964,               0.006964
                     95,                  1.799,                 1.0416,                0.93953,                0.90431,                0.81997,                0.87245,                0.43638,                 1.7647,                0.96666,                0.92066,               0.006931,               0.006931,               0.006931
                     96,                 1.8295,                 1.0893,                0.94372,                0.90429,                0.82762,                0.88337,                0.44077,                 1.7511,                0.93565,                0.91945,               0.006898,               0.006898,               0.006898
                     97,                 1.7759,                 1.0291,                0.93431,                0.93944,                0.81536,                0.88549,                0.44457,                 1.7656,                0.95352,                0.92139,               0.006865,               0.006865,               0.006865
                     98,                 1.7785,                 1.0228,                0.94171,                0.92555,                0.83191,                0.87608,                0.43706,                 1.7431,                0.92189,                0.91403,               0.006832,               0.006832,               0.006832
                     99,                 1.7588,                0.99271,                0.94223,                0.91239,                0.86805,                0.87886,                0.44399,                 1.7507,                0.90083,                0.91768,               0.006799,               0.006799,               0.006799
                    100,                 1.7935,                 1.0136,                0.94195,                0.92762,                0.83441,                0.88799,                0.45058,                  1.756,                0.89951,                0.92077,               0.006766,               0.006766,               0.006766
                    101,                 1.7694,                 1.0112,                 0.9464,                 0.9171,                0.82936,                0.88294,                 0.4513,                 1.7753,                  0.903,                0.92495,               0.006733,               0.006733,               0.006733
                    102,                 1.8087,                 1.0231,                0.93507,                0.92554,                0.83411,                0.87607,                0.45126,                 1.7461,                0.90346,                0.91514,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.7908,                 1.0047,                0.93863,                0.92132,                0.83098,                0.88647,                0.45964,                 1.7226,                0.92439,                0.91832,               0.006667,               0.006667,               0.006667
                    104,                 1.7715,                 0.9975,                0.93154,                0.92401,                0.80006,                0.87929,                0.44378,                 1.7778,                0.97568,                 0.9198,               0.006634,               0.006634,               0.006634
                    105,                 1.7523,                0.99417,                0.95012,                 0.9015,                0.81665,                0.88228,                0.45249,                 1.7346,                0.94241,                0.91611,               0.006601,               0.006601,               0.006601
                    106,                  1.729,                0.98284,                0.93319,                0.92934,                0.83307,                0.89485,                0.47553,                 1.7133,                0.90548,                 0.9116,               0.006568,               0.006568,               0.006568
                    107,                 1.7667,                 1.0143,                0.93558,                0.90655,                0.84922,                0.88797,                0.45126,                 1.7414,                0.93605,                  0.922,               0.006535,               0.006535,               0.006535
                    108,                 1.7454,                0.96245,                0.93857,                0.92392,                0.86076,                0.89614,                0.46618,                 1.7189,                0.88295,                0.91524,               0.006502,               0.006502,               0.006502
                    109,                 1.7419,                0.97818,                 0.9309,                0.94323,                0.82743,                0.88137,                 0.4441,                 1.7664,                0.92538,                0.92291,               0.006469,               0.006469,               0.006469
                    110,                 1.7204,                0.94768,                0.92617,                0.94523,                0.82232,                0.88376,                0.45848,                 1.7475,                0.91639,                0.92103,               0.006436,               0.006436,               0.006436
                    111,                  1.731,                0.97942,                0.93923,                0.92045,                0.83403,                0.88558,                0.45233,                 1.7382,                0.88603,                0.91273,               0.006403,               0.006403,               0.006403
                    112,                 1.7388,                  0.959,                0.93571,                0.91725,                 0.8116,                0.88821,                0.44821,                 1.7374,                0.91883,                0.91322,                0.00637,                0.00637,                0.00637
                    113,                 1.7408,                0.97927,                0.93902,                0.90684,                0.81777,                0.88695,                  0.453,                 1.7312,                0.94252,                0.91245,               0.006337,               0.006337,               0.006337
                    114,                 1.7027,                0.93653,                0.93776,                0.88205,                0.85458,                0.90203,                0.45723,                 1.7192,                0.91591,                0.90991,               0.006304,               0.006304,               0.006304
                    115,                 1.7054,                0.94311,                0.91959,                0.92743,                 0.8467,                0.90564,                0.45588,                 1.7434,                0.85496,                 0.9136,               0.006271,               0.006271,               0.006271
                    116,                 1.7103,                0.94184,                0.93007,                0.91364,                0.86695,                0.90317,                0.46027,                 1.7277,                0.87622,                0.91209,               0.006238,               0.006238,               0.006238
                    117,                 1.6893,                0.91984,                0.93527,                0.93961,                0.85834,                0.91024,                0.48532,                 1.7016,                0.86653,                0.91423,               0.006205,               0.006205,               0.006205
                    118,                 1.7053,                0.93233,                0.92937,                0.95105,                0.80979,                0.89712,                0.45103,                 1.7666,                0.88636,                0.91938,               0.006172,               0.006172,               0.006172
                    119,                 1.7376,                0.96545,                0.92327,                 0.9155,                0.84361,                0.89822,                0.46499,                  1.716,                0.86418,                0.91157,               0.006139,               0.006139,               0.006139
                    120,                 1.7105,                0.95335,                0.92868,                0.94724,                0.80278,                0.89744,                0.45622,                 1.7736,                0.92743,                0.91885,               0.006106,               0.006106,               0.006106
                    121,                 1.6706,                0.90838,                0.91628,                0.87212,                0.85852,                0.87194,                0.44525,                 1.7628,                0.89476,                0.91585,               0.006073,               0.006073,               0.006073
